id	university	publications	publications_frac	top_pubs	top_pubs_frac	collaboration	oa	country_iso_num_code	wikipedia_url	established_year	page_id	namespace	title	is_redirect	is_new	touched	links_updated	latest	len	content_model	page_edits	creation	editors	views	references	langlinks	univ_age	page_age	pp_top	1y_views	2y_views
2945	West Sydney Univ	5913	2253	919	277	5181	2878	36.0	University_of_Western_Sydney		304175	0	Western_Sydney_University	0	0	20210626180901	20210623124410.0	1028340949	53780	wikitext	1455.0	2003-08-25	464.0	7919.0	56.0	20		18	0.15542026044309148	46692	126109
3327	Soochow Univ	17106	9854	2031	1045	12614	6287	156.0	Soochow_University_(Suzhou)	1900.0	20122483	0	Soochow_University_(Suzhou)	0	0	20210626185237	20210626191114.0	1028446301	15660	wikitext	193.0	2008-11-08	90.0	4811.0	2.0	8	121.0	13	0.11873027008067345	24056	52830
3328	Univ Electron Sci & Technol China	14498	8278	1955	968	10784	5213	156.0	University_of_Electronic_Science_and_Technology_of_China	1956.0	16849033	0	University_of_Electronic_Science_and_Technology_of_China	0	0	20210626212212	20210626213927.0	1029077229	11248	wikitext	343.0	2008-04-09	93.0	3834.0	2.0	2	65.0	13	0.13484618568078355	23947	54631
3329	Capital Med Univ	15123	8097	1173	481	11409	8508	156.0	Capital_University_of_Medical_Sciences	1960.0	919971	0	Capital_University_of_Medical_Sciences	0	0	20210626181310	20210623123922.0	1021785884	10001	wikitext	117.0	2004-08-22	68.0	1754.0		3	61.0	17	0.07756397540170601	10220	22447
3330	Air Force Med Univ	4943	2999	584	318	3709	2753	156.0	Fourth_Military_Medical_University		19157521	0	Air_Force_Medical_University	0	0	20210626185118	20210627034701.0	957300208	3564	wikitext	48.0	2008-09-03	26.0	491.0	1.0	1		13	0.11814687436779284	3773	8233
3331	Chongqing Univ	14848	8908	1678	927	11088	4032	156.0	Chongqing_University	1929.0	519696	0	Chongqing_University	0	0	20210627153118	20210627155640.0	1028812825	17803	wikitext	258.0	2004-03-11	120.0	2929.0	5.0	10	92.0	17	0.11301185344827586	15873	35396
3332	Beijing Univ Chem Technol	7797	5088	998	571	5113	1465	156.0	Beijing_University_of_Chemical_Technology	1958.0	919314	0	Beijing_University_of_Chemical_Technology	0	0	20210626181309	20210623123937.0	1018405214	5078	wikitext	99.0	2004-08-22	65.0	941.0	1.0	3	63.0	17	0.12799794792869051	6730	14812
3333	Second Mil Med Univ	5439	3081	547	276	4249	2899	156.0	Second_Military_Medical_University	1949.0	919877	0	Second_Military_Medical_University	0	0	20210630153857	20210630154549.0	958447134	3940	wikitext	62.0	2004-08-22	47.0	1207.0	1.0	2	72.0	17	0.10056995771281485	6908	15196
3334	Beijing Inst Technol	13470	8197	1633	867	9672	3746	156.0	Beijing_Institute_of_Technology	1940.0	342924	0	Beijing_Institute_of_Technology	0	0	20210630083101	20210630083224.0	1031196117	31010	wikitext	439.0	2003-10-17	138.0	5049.0	18.0	15	81.0	18	0.12123236822568671	25758	55889
3335	Nanjing Med Univ	13264	7538	1171	602	9792	7423	156.0	Nanjing_Medical_University	1934.0	19850896	0	Nanjing_Medical_University	0	0	20210626185206	20210626203742.0	999361261	10551	wikitext	95.0	2008-10-19	52.0	1299.0	2.0	1	87.0	13	0.08828407720144753	8184	18939
3336	Beihang Univ	17432	10475	2254	1233	12270	5902	156.0	Beihang_University	1952.0	599903	0	Beihang_University	0	0	20210626181058	20210623122045.0	1028620990	22558	wikitext	377.0	2004-04-16	184.0	5533.0	12.0	14	69.0	17	0.12930243230839836	28420	60809
3337	Huazhong Agr Univ	7623	4637	912	500	5820	3566	156.0	Huazhong_Agricultural_University	1898.0	7782678	0	Huazhong_Agricultural_University	0	0	20210626183325	20210627022255.0	1000914550	8788	wikitext	89.0	2006-11-05	63.0	779.0	5.0	5	123.0	15	0.119637937819756	6452	14135
3338	China Med Univ	7338	5145	564	331	3965	4385	156.0	China_Medical_University_(PRC)	1931.0	919218	0	China_Medical_University_(PRC)	0	0	20210626181309	20210623162653.0	1017830119	5688	wikitext	148.0	2004-08-22	71.0	1422.0		2	90.0	17	0.07686017988552739	8098	20068
3339	Nanjing Agr Univ	8896	5746	963	586	6294	3767	156.0	Nanjing_Agricultural_University	1902.0	6869962	0	Nanjing_Agricultural_University	0	0	20210626183157	20210626214908.0	1001320718	5470	wikitext	232.0	2004-08-22	75.0	790.0	5.0	5	119.0	17	0.10825089928057553	6650	15697
3340	Zhengzhou Univ	14484	8038	1535	711	10488	5940	156.0	Zhengzhou_University	1956.0	919119	0	Zhengzhou_University	0	0	20210626181308	20210623125406.0	1008549213	21645	wikitext	290.0	2004-08-22	139.0	3506.0	8.0	5	65.0	17	0.10597901132283899	18679	39964
